feature,importance
focus_cluster_fraction,0.14659752
centroid_dy,0.099262655
visible_std_x,0.07300401
visible_std_y,0.0687875
centroid_dx,0.06406378
goal_dy,0.04721699
dog_x,0.042149004
dog_y,0.040694684
goal_dx,0.039245665
max_sheep_goal_dist,0.035285693
mean_sheep_dog_dist,0.03326315
mean_sheep_goal_dist,0.024837585
focus_cluster_goal_dist,0.021138677
sheep_5_dx,0.018365879
max_sheep_dog_dist,0.01809983
max_sheep_centroid_dist,0.016525872
visible_hull_area,0.015585353
mean_sheep_centroid_dist,0.014666024
sheep_5_dy,0.012249258
sheep_1_dx,0.011682276
sheep_7_dx,0.010736979
sheep_1_dy,0.010619835
sheep_8_dx,0.009961666
sheep_7_dy,0.00978653
sheep_6_dx,0.009261915
sheep_9_dy,0.0088007515
sheep_0_dy,0.0083602145
sheep_2_dy,0.008194301
sheep_3_dx,0.007960114
sheep_9_dx,0.007911634
sheep_8_dy,0.0073917615
sheep_6_dy,0.007023225
sheep_4_dy,0.0069888295
sheep_2_dx,0.0069558797
sheep_0_dx,0.0066222977
sheep_3_dy,0.006410853
sheep_4_dx,0.0060908822
visible_count,0.0028507137
visible_ratio,0.0027899595
obstacle_0_h,0.0011681418
obstacle_3_w,0.0011468678
obstacle_1_w,0.0009820949
obstacle_1_x,0.0009621961
obstacle_2_y,0.0009459658
obstacle_0_y,0.00093438744
obstacle_1_y,0.0009276372
obstacle_2_w,0.00088987796
obstacle_2_h,0.0008841703
obstacle_0_w,0.000772517
obstacle_3_y,0.00076976797
obstacle_0_x,0.00076585426
obstacle_3_x,0.00057849486
obstacle_3_h,0.0005783633
obstacle_2_x,0.00014597183
obstacle_1_h,0.00010795661
obstacle_7_w,0.0
obstacle_7_y,0.0
obstacle_7_x,0.0
obstacle_6_h,0.0
obstacle_6_w,0.0
obstacle_6_y,0.0
obstacle_6_x,0.0
obstacle_5_h,0.0
obstacle_5_w,0.0
obstacle_5_y,0.0
obstacle_5_x,0.0
obstacle_4_h,0.0
obstacle_4_w,0.0
obstacle_4_y,0.0
obstacle_4_x,0.0
obstacle_7_h,0.0
