feature,importance
focus_cluster_fraction,0.14152017
centroid_dx,0.102795355
visible_std_y,0.10192677
centroid_dy,0.08913404
visible_std_x,0.050213363
goal_dy,0.044897392
dog_y,0.044427115
goal_dx,0.039290518
max_sheep_goal_dist,0.037911963
mean_sheep_dog_dist,0.030290421
mean_sheep_goal_dist,0.022746002
dog_x,0.019936938
focus_cluster_goal_dist,0.017819269
mean_sheep_centroid_dist,0.016089287
sheep_1_dy,0.016017105
max_sheep_centroid_dist,0.015510506
max_sheep_dog_dist,0.012769139
sheep_5_dx,0.011509316
sheep_0_dx,0.0112652965
sheep_6_dy,0.011234196
sheep_0_dy,0.01055337
visible_hull_area,0.010504315
sheep_5_dy,0.010312996
sheep_7_dy,0.009648958
sheep_9_dx,0.009460494
sheep_3_dy,0.009411993
sheep_7_dx,0.009231277
sheep_4_dx,0.009069752
sheep_8_dx,0.008973405
sheep_9_dy,0.008558965
sheep_4_dy,0.007850947
sheep_1_dx,0.0076295976
sheep_2_dx,0.007567186
sheep_8_dy,0.0074434155
sheep_6_dx,0.007150833
sheep_2_dy,0.0069077127
sheep_3_dx,0.006167522
visible_ratio,0.0028255552
visible_count,0.0026124602
obstacle_1_w,0.0013463689
obstacle_0_x,0.0012895889
obstacle_0_w,0.0012675743
obstacle_2_w,0.0012571216
obstacle_2_y,0.001231178
obstacle_1_x,0.0010766612
obstacle_0_y,0.0009163769
obstacle_0_h,0.00045077942
obstacle_1_y,0.00040230175
obstacle_2_h,0.0003386361
obstacle_3_h,0.0002623163
obstacle_3_y,0.0002405611
obstacle_3_w,0.00022759629
obstacle_2_x,0.00019389742
obstacle_3_x,0.0001713779
obstacle_1_h,0.000142758
obstacle_7_w,0.0
obstacle_7_y,0.0
obstacle_7_x,0.0
obstacle_6_h,0.0
obstacle_6_w,0.0
obstacle_6_y,0.0
obstacle_6_x,0.0
obstacle_5_h,0.0
obstacle_5_w,0.0
obstacle_5_y,0.0
obstacle_5_x,0.0
obstacle_4_h,0.0
obstacle_4_w,0.0
obstacle_4_y,0.0
obstacle_4_x,0.0
obstacle_7_h,0.0
